date,country,cases,deaths
2020-01-03,Austria,0,0
2020-01-04,Austria,0,0
2020-01-05,Austria,0,0
2020-01-06,Austria,0,0
2020-01-07,Austria,0,0
2020-01-08,Austria,0,0
2020-01-09,Austria,0,0
2020-01-10,Austria,0,0
2020-01-11,Austria,0,0
2020-01-12,Austria,0,0
2020-01-13,Austria,0,0
2020-01-14,Austria,0,0
2020-01-15,Austria,0,0
2020-01-16,Austria,0,0
2020-01-17,Austria,0,0
2020-01-18,Austria,0,0
2020-01-19,Austria,0,0
2020-01-20,Austria,0,0
2020-01-21,Austria,0,0
2020-01-22,Austria,0,0
2020-01-23,Austria,0,0
2020-01-24,Austria,0,0
2020-01-25,Austria,0,0
2020-01-26,Austria,0,0
2020-01-27,Austria,0,0
2020-01-28,Austria,0,0
2020-01-29,Austria,0,0
2020-01-30,Austria,0,0
2020-01-31,Austria,0,0
2020-02-01,Austria,0,0
2020-02-02,Austria,0,0
2020-02-03,Austria,0,0
2020-02-04,Austria,0,0
2020-02-05,Austria,0,0
2020-02-06,Austria,0,0
2020-02-07,Austria,0,0
2020-02-08,Austria,0,0
2020-02-09,Austria,0,0
2020-02-10,Austria,0,0
2020-02-11,Austria,0,0
2020-02-12,Austria,0,0
2020-02-13,Austria,0,0
2020-02-14,Austria,0,0
2020-02-15,Austria,0,0
2020-02-16,Austria,0,0
2020-02-17,Austria,0,0
2020-02-18,Austria,0,0
2020-02-19,Austria,0,0
2020-02-20,Austria,0,0
2020-02-21,Austria,0,0
2020-02-22,Austria,0,0
2020-02-23,Austria,0,0
2020-02-24,Austria,0,0
2020-02-25,Austria,0,0
2020-02-26,Austria,2,0
2020-02-27,Austria,0,0
2020-02-28,Austria,3,0
2020-02-29,Austria,2,0
2020-03-01,Austria,3,0
2020-03-02,Austria,4,0
2020-03-03,Austria,4,0
2020-03-04,Austria,6,0
2020-03-05,Austria,5,0
2020-03-06,Austria,12,0
2020-03-07,Austria,33,0
2020-03-08,Austria,25,0
2020-03-09,Austria,3,0
2020-03-10,Austria,29,0
2020-03-11,Austria,51,0
2020-03-12,Austria,64,0
2020-03-13,Austria,115,1
2020-03-14,Austria,143,0
2020-03-15,Austria,151,0
2020-03-16,Austria,205,0
2020-03-17,Austria,156,2
2020-03-18,Austria,316,0
2020-03-19,Austria,314,1
2020-03-20,Austria,550,2
2020-03-21,Austria,453,0
2020-03-22,Austria,375,2
2020-03-23,Austria,607,8
2020-03-24,Austria,855,9
2020-03-25,Austria,796,5
2020-03-26,Austria,606,4
2020-03-27,Austria,1141,18
2020-03-28,Austria,668,16
2020-03-29,Austria,594,0
2020-03-30,Austria,522,18
2020-03-31,Austria,805,22
2020-04-01,Austria,564,20
2020-04-02,Austria,529,18
2020-04-03,Austria,418,12
2020-04-04,Austria,396,10
2020-04-05,Austria,241,18
2020-04-06,Austria,217,18
2020-04-07,Austria,314,16
2020-04-08,Austria,343,23
2020-04-09,Austria,329,30
2020-04-10,Austria,279,22
2020-04-11,Austria,312,24
2020-04-12,Austria,247,18
2020-04-13,Austria,130,13
2020-04-14,Austria,106,18
2020-04-15,Austria,191,16
2020-04-16,Austria,136,9
2020-04-17,Austria,78,17
2020-04-18,Austria,155,21
2020-04-19,Austria,59,12
2020-04-20,Austria,48,9
2020-04-21,Austria,73,10
2020-04-22,Austria,50,1
2020-04-23,Austria,91,31
2020-04-24,Austria,61,14
2020-04-25,Austria,83,5
2020-04-26,Austria,66,23
2020-04-27,Austria,55,6
2020-04-28,Austria,67,7
2020-04-29,Austria,58,20
2020-04-30,Austria,50,11
2020-05-01,Austria,60,4
2020-05-02,Austria,34,5
2020-05-03,Austria,12,7
2020-05-04,Austria,68,2
2020-05-05,Austria,31,2
2020-05-06,Austria,17,6
2020-05-07,Austria,65,2
2020-05-08,Austria,22,1
2020-05-09,Austria,62,5
2020-05-10,Austria,42,1
2020-05-11,Austria,10,3
2020-05-12,Austria,87,2
2020-05-13,Austria,36,3
2020-05-14,Austria,54,1
2020-05-15,Austria,41,2
2020-05-16,Austria,63,2
2020-05-17,Austria,72,0
2020-05-18,Austria,14,1
2020-05-19,Austria,25,0
2020-05-20,Austria,78,3
2020-05-21,Austria,18,1
2020-05-22,Austria,57,0
2020-05-23,Austria,29,2
2020-05-24,Austria,46,4
2020-05-25,Austria,32,1
2020-05-26,Austria,20,1
2020-05-27,Austria,38,2
2020-05-28,Austria,18,2
2020-05-29,Austria,28,23
2020-05-30,Austria,51,0
2020-05-31,Austria,44,0
2020-06-01,Austria,4,0
2020-06-02,Austria,21,0
2020-06-03,Austria,11,1
2020-06-04,Austria,31,1
2020-06-05,Austria,36,0
2020-06-06,Austria,62,2
2020-06-07,Austria,19,0
2020-06-08,Austria,46,0
2020-06-09,Austria,21,0
2020-06-10,Austria,13,0
2020-06-11,Austria,34,1
2020-06-12,Austria,28,1
2020-06-13,Austria,30,1
2020-06-14,Austria,20,2
2020-06-15,Austria,24,0
2020-06-16,Austria,27,1
2020-06-17,Austria,33,3
2020-06-18,Austria,17,6
2020-06-19,Austria,40,1
2020-06-20,Austria,30,0
2020-06-21,Austria,62,0
2020-06-22,Austria,38,2
2020-06-23,Austria,35,0
2020-06-24,Austria,31,3
2020-06-25,Austria,33,0
2020-06-26,Austria,47,5
2020-06-27,Austria,67,0
2020-06-28,Austria,64,2
2020-06-29,Austria,63,2
2020-06-30,Austria,41,1
2020-07-01,Austria,111,2
2020-07-02,Austria,37,0
2020-07-03,Austria,138,0
2020-07-04,Austria,121,0
2020-07-05,Austria,123,0
2020-07-06,Austria,73,1
2020-07-07,Austria,57,0
2020-07-08,Austria,89,0
2020-07-09,Austria,101,0
2020-07-10,Austria,97,0
2020-07-11,Austria,74,0
2020-07-12,Austria,108,0
2020-07-13,Austria,52,2
2020-07-14,Austria,12,0
2020-07-15,Austria,201,1
2020-07-16,Austria,55,1
2020-07-17,Austria,153,0
2020-07-18,Austria,138,0
2020-07-19,Austria,102,0
2020-07-20,Austria,63,0
2020-07-21,Austria,108,0
2020-07-22,Austria,139,0
2020-07-23,Austria,140,1
2020-07-24,Austria,164,0
2020-07-25,Austria,107,0
2020-07-26,Austria,120,1
2020-07-27,Austria,137,0
2020-07-28,Austria,64,1
2020-07-29,Austria,132,0
2020-07-30,Austria,164,3
2020-07-31,Austria,163,2
2020-08-01,Austria,89,0
2020-08-02,Austria,126,0
2020-08-03,Austria,85,0
2020-08-04,Austria,32,0
2020-08-05,Austria,131,1
2020-08-06,Austria,103,0
2020-08-07,Austria,114,0
2020-08-08,Austria,130,1
2020-08-09,Austria,116,1
2020-08-10,Austria,76,0
2020-08-11,Austria,111,2
2020-08-12,Austria,138,0
2020-08-13,Austria,241,1
2020-08-14,Austria,229,1
2020-08-15,Austria,221,0
2020-08-16,Austria,260,3
2020-08-17,Austria,162,0
2020-08-18,Austria,344,1
2020-08-19,Austria,158,0
2020-08-20,Austria,425,0
2020-08-21,Austria,308,0
2020-08-22,Austria,275,1
2020-08-23,Austria,216,2
2020-08-24,Austria,140,0
2020-08-25,Austria,308,1
2020-08-26,Austria,291,0
2020-08-27,Austria,316,0
2020-08-28,Austria,227,0
2020-08-29,Austria,382,0
2020-08-30,Austria,174,0
2020-08-31,Austria,281,0
2020-09-01,Austria,186,0
2020-09-02,Austria,337,1
2020-09-03,Austria,442,0
2020-09-04,Austria,312,1
2020-09-05,Austria,271,0
2020-09-06,Austria,208,0
2020-09-07,Austria,220,1
2020-09-08,Austria,511,10
2020-09-09,Austria,495,1
2020-09-10,Austria,754,0
2020-09-11,Austria,497,1
2020-09-12,Austria,1005,2
2020-09-13,Austria,495,4
2020-09-14,Austria,384,2
2020-09-15,Austria,549,1
2020-09-16,Austria,860,0
2020-09-17,Austria,704,1
2020-09-18,Austria,922,0
2020-09-19,Austria,821,5
2020-09-20,Austria,757,2
2020-09-21,Austria,609,1
2020-09-22,Austria,593,1
2020-09-23,Austria,747,4
2020-09-24,Austria,661,6
2020-09-25,Austria,688,6
2020-09-26,Austria,1071,3
2020-09-27,Austria,623,1
2020-09-28,Austria,526,0
2020-09-29,Austria,419,3
2020-09-30,Austria,722,6
2020-10-01,Austria,1146,3
2020-10-02,Austria,564,3
2020-10-03,Austria,872,1
2020-10-04,Austria,830,6
2020-10-05,Austria,599,4
2020-10-06,Austria,1268,5
2020-10-07,Austria,549,22
2020-10-08,Austria,947,4
2020-10-09,Austria,1221,9
2020-10-10,Austria,1181,4
2020-10-11,Austria,901,1
2020-10-12,Austria,1298,6
2020-10-13,Austria,608,5
2020-10-14,Austria,1171,10
2020-10-15,Austria,1606,9
2020-10-16,Austria,1396,6
2020-10-17,Austria,1691,7
2020-10-18,Austria,2040,6
2020-10-19,Austria,1062,3
2020-10-20,Austria,1054,9
2020-10-21,Austria,1803,8
2020-10-22,Austria,2355,13
2020-10-23,Austria,2570,17
2020-10-24,Austria,3442,15
2020-10-25,Austria,2989,6
2020-10-26,Austria,2766,6
2020-10-27,Austria,2512,4
2020-10-28,Austria,2698,18
2020-10-29,Austria,4149,34
2020-10-30,Austria,4305,24
2020-10-31,Austria,5243,15
2020-11-01,Austria,5141,18
2020-11-02,Austria,4526,17
2020-11-03,Austria,3160,21
2020-11-04,Austria,4445,34
2020-11-05,Austria,6514,35
2020-11-06,Austria,7051,47
2020-11-07,Austria,6324,44
2020-11-08,Austria,7898,23
2020-11-09,Austria,6006,17
2020-11-10,Austria,5704,48
2020-11-11,Austria,3839,35
2020-11-12,Austria,9643,55
2020-11-13,Austria,10368,37
2020-11-14,Austria,8962,64
2020-11-15,Austria,7192,55
2020-11-16,Austria,5278,50
2020-11-17,Austria,4304,62
2020-11-18,Austria,5664,74
2020-11-19,Austria,7766,113
2020-11-20,Austria,6830,90
2020-11-21,Austria,6612,79
2020-11-22,Austria,6239,58
2020-11-23,Austria,5215,44
2020-11-24,Austria,3090,94
2020-11-25,Austria,4135,115
2020-11-26,Austria,5896,94
2020-11-27,Austria,5447,114
2020-11-28,Austria,4818,148
2020-11-29,Austria,4765,58
2020-11-30,Austria,3907,82
2020-12-01,Austria,2348,79
2020-12-02,Austria,3464,213
2020-12-03,Austria,3660,133
2020-12-04,Austria,3783,118
2020-12-05,Austria,3634,140
2020-12-06,Austria,3160,87
2020-12-07,Austria,2745,58
2020-12-08,Austria,2181,95
2020-12-09,Austria,2531,80
2020-12-10,Austria,2913,126
2020-12-11,Austria,2466,125
2020-12-12,Austria,3026,101
2020-12-13,Austria,2938,96
2020-12-14,Austria,3005,45
2020-12-15,Austria,2521,110
2020-12-16,Austria,2954,141
2020-12-17,Austria,2766,127
2020-12-18,Austria,2180,108
2020-12-19,Austria,1914,131
2020-12-20,Austria,2258,110
2020-12-21,Austria,1593,89
2020-12-22,Austria,1218,140
2020-12-23,Austria,2493,114
2020-12-24,Austria,2600,141
2020-12-25,Austria,2818,61
2020-12-26,Austria,1750,38
2020-12-27,Austria,1258,42
2020-12-28,Austria,1376,42
2020-12-29,Austria,1651,78
2020-12-30,Austria,1836,133
2020-12-31,Austria,3129,81
2021-01-01,Austria,3011,45
2021-01-02,Austria,2110,46
2021-01-03,Austria,1491,37
2021-01-04,Austria,1611,39
2021-01-05,Austria,1951,73
2021-01-06,Austria,2255,77
2021-01-07,Austria,2877,51
2021-01-08,Austria,2006,50
2021-01-09,Austria,2001,68
2021-01-10,Austria,2446,42
2021-01-11,Austria,1597,17
2021-01-12,Austria,1328,71
2021-01-13,Austria,1728,80
2021-01-14,Austria,2246,44
2021-01-15,Austria,1514,54
2021-01-16,Austria,1472,51
2021-01-17,Austria,1757,33
2021-01-18,Austria,1361,50
2021-01-19,Austria,868,55
2021-01-20,Austria,1463,58
2021-01-21,Austria,1634,38
2021-01-22,Austria,1779,57
2021-01-23,Austria,1779,66
2021-01-24,Austria,1551,30
2021-01-25,Austria,1347,44
2021-01-26,Austria,944,54
2021-01-27,Austria,1445,46
2021-01-28,Austria,1606,53
2021-01-29,Austria,1238,43
2021-01-30,Austria,1606,47
2021-01-31,Austria,1519,31
2021-02-01,Austria,1093,17
2021-02-02,Austria,936,57
2021-02-03,Austria,1318,39
2021-02-04,Austria,1686,51
2021-02-05,Austria,1444,28
2021-02-06,Austria,1501,35
2021-02-07,Austria,1437,21
2021-02-08,Austria,1337,22
2021-02-09,Austria,808,34
2021-02-10,Austria,1120,44
2021-02-11,Austria,1433,29
2021-02-12,Austria,1654,36
2021-02-13,Austria,1708,27
2021-02-14,Austria,1325,12
2021-02-15,Austria,1202,13
2021-02-16,Austria,1193,27
2021-02-17,Austria,1382,36
2021-02-18,Austria,1648,20
2021-02-19,Austria,1983,26
2021-02-20,Austria,1799,23
2021-02-21,Austria,1980,14
2021-02-22,Austria,1863,11
2021-02-23,Austria,1121,31
2021-02-24,Austria,1668,28
2021-02-25,Austria,2190,16
2021-02-26,Austria,2425,23
2021-02-27,Austria,2060,18
2021-02-28,Austria,2561,20
2021-03-01,Austria,2345,20
2021-03-02,Austria,426,16
2021-03-03,Austria,2648,26
2021-03-04,Austria,2497,14
2021-03-05,Austria,2691,19
2021-03-06,Austria,2319,24
2021-03-07,Austria,2846,16
2021-03-08,Austria,2281,9
2021-03-09,Austria,1965,23
2021-03-10,Austria,2194,21
2021-03-11,Austria,2847,12
2021-03-12,Austria,2847,18
2021-03-13,Austria,3009,23
2021-03-14,Austria,3325,17
2021-03-15,Austria,2664,17
2021-03-16,Austria,1910,22
2021-03-17,Austria,2487,23
2021-03-18,Austria,2814,33
2021-03-19,Austria,3505,23
2021-03-20,Austria,3306,25
2021-03-21,Austria,4051,22
2021-03-22,Austria,2918,19
2021-03-23,Austria,2306,23
2021-03-24,Austria,2715,40
2021-03-25,Austria,3262,29
2021-03-26,Austria,3516,16
2021-03-27,Austria,3487,24
2021-03-28,Austria,3896,27
2021-03-29,Austria,2667,11
2021-03-30,Austria,3240,24
2021-03-31,Austria,2810,28
2021-04-01,Austria,3107,28
2021-04-02,Austria,3058,23
2021-04-03,Austria,3077,33
2021-04-04,Austria,3693,23
2021-04-05,Austria,2915,24
2021-04-06,Austria,2268,26
2021-04-07,Austria,2077,35
2021-04-08,Austria,3006,46
2021-04-09,Austria,3052,36
2021-04-10,Austria,2432,34
2021-04-11,Austria,3559,27
2021-04-12,Austria,2139,18
2021-04-13,Austria,1770,37
2021-04-14,Austria,2032,51
2021-04-15,Austria,2855,31
2021-04-16,Austria,2561,33
2021-04-17,Austria,2348,30
2021-04-18,Austria,2591,23
2021-04-19,Austria,2159,34
2021-04-20,Austria,1792,32
2021-04-21,Austria,2005,27
2021-04-22,Austria,2377,40
2021-04-23,Austria,2347,25
2021-04-24,Austria,2407,32
2021-04-25,Austria,2231,15
2021-04-26,Austria,2091,11
2021-04-27,Austria,1380,22
2021-04-28,Austria,1557,20
2021-04-29,Austria,2286,29
2021-04-30,Austria,1995,33
2021-05-01,Austria,2231,26
2021-05-02,Austria,1655,16
2020-01-03,Belgium,0,0
2020-01-04,Belgium,0,0
2020-01-05,Belgium,0,0
2020-01-06,Belgium,0,0
2020-01-07,Belgium,0,0
2020-01-08,Belgium,0,0
2020-01-09,Belgium,0,0
2020-01-10,Belgium,0,0
2020-01-11,Belgium,0,0
2020-01-12,Belgium,0,0
2020-01-13,Belgium,0,0
2020-01-14,Belgium,0,0
2020-01-15,Belgium,0,0
2020-01-16,Belgium,0,0
2020-01-17,Belgium,0,0
2020-01-18,Belgium,0,0
2020-01-19,Belgium,0,0
2020-01-20,Belgium,0,0
2020-01-21,Belgium,0,0
2020-01-22,Belgium,0,0
2020-01-23,Belgium,0,0
2020-01-24,Belgium,0,0
2020-01-25,Belgium,0,0
2020-01-26,Belgium,0,0
2020-01-27,Belgium,0,0
2020-01-28,Belgium,0,0
2020-01-29,Belgium,0,0
2020-01-30,Belgium,0,0
2020-01-31,Belgium,0,0
