date,country,cases,deaths,population,gdp,density_per_sqr_km
2020-01-03,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-04,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-05,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-06,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-07,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-08,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-09,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-10,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-11,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-12,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-13,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-14,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-15,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-16,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-17,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-18,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-19,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-20,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-21,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-22,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-23,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-24,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-25,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-26,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-27,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-28,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-29,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
2020-01-30,Austria,0,0,8877067.0,50137.6627762476,107.131858943286
