"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","0.170626997947693","","","","","","","","","","0.199000000953674","","","","","","","","","","","0.275599986314774","","","","","","0.3091000020504","","","0.2497999966","","","","","","","","","","0.3","0.39","0.39","0.39","0.39","0.42","0.42","0.42","0.42","0.42","0.43","0.44","0.53","0.53","0.5","0.5","0.5","0.39","","","",
"Angola","AGO","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","2.06146168708801","","","","","","","","","","2.72099995613098","","","","","","","","","","","","","","","","","","","","1.2913000584","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","",
"Albania","ALB","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","5.1026759147644","","","","","","","","","","","","","","","","","","","","4.27169990539551","4.18709993362427","4.16069984436035","4.08620023727417","4.13899993896484","4.13880014419556","4.06969976425171","3.97000002861023","3.93549990653992","4.13210010528564","4.0248999596","3.9986999035","4.0134000778","3.8313999176","3.0171000957","3.1900000572","3.1400001049","3.0499999523","3.0499999523","3.0299999714","3.26","3.26","3.14","3.07","3.01","3.08","3.12","3.09","","3.01","2.99","2.88","2.88","2.89","","","","","","","",
"Andorra","AND","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1800000668","3","3.0899999142","3.2000000477","3.2000000477","2.5899999142","","3.2999999523","","2.7","2.6","2.6","","2.5","","","","","","","","","","","",
"Arab World","ARB","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","1.92730144882262","","","","","","","","","","1.91788556013217","","","","","1.58381419388698","","","","","","1.7076106017146","","","","","","","","","1.79558140293835","","","","","","","","","","1.59937258781033","1.64278069560767","1.5764362134019","1.57115085905682","1.60622206428408","1.62247379110411","1.64964355832834","1.61712589409548","1.63901287834116","1.5380735852055","1.54714894238811","1.16240405733085","1.16184550107634","1.15075994438084","2.27463740975636","1.4851555619648","2.07354444137218","1.3803980055347","","","",
"United Arab Emirates","ARE","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","2.84949994087219","2.87509989738464","","","","","","","","","2.6400001049","","3.0604999065","","","","2.6400001049","","","","2.38","2.28","2.19","2.19","2.19","2.19","1.88","1.88","1.86","1.93","1.93","1.07","1.07","1.15","0.01","1.1","1.36","1.38","","","",
"Argentina","ARG","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","6.35225057601929","","","","","","","","","","5.58580017089844","","","","","","","","","","","","","","","","","","","","4.5942997932","","","4.5999999046","","","3.2899999619","","","","4.1","","","","","4","","","","","4.5","4.39","4.59","4.78","4.84","4.96","4.95","4.99","","","",
"Armenia","ARM","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","8.39540004730225","8.57839965820313","8.68280029296875","8.54810047149658","8.66009998321533","8.69919967651367","9.02420043945313","8.99660015106201","9.19040012359619","9.03579998016357","9.0947999954","8.529299736","8.3676996231","8.2146997452","7.765999794","7.6399998665","7.1300001144","6.75","6.6599998474","6.1999998093","6.44","5.03","4.35","4.42","4.44","4.46","4.42","4.07","3.82","3.72","3.73","3.74","4.05","4.06","4.16","4.2","","","","","",
"American Samoa","ASM","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
