country,population,gdp,density_per_sqr_km
Austria,8877067.0,50137.66278,107.131858943286
Belgium,11484055.0,46420.66377,377.379590488771
Bulgaria,6975761.0,9828.148515,64.7110998526161
Cyprus,1198575.0,27858.371,128.708333333333
Czechia,10669709.0,23494.5962,137.693367875648
Germany,83132799.0,46445.2491,237.294012250272
Denmark,5818553.0,60170.34264,144.8409
Spain,47076781.0,29600.37825,93.6697920792501
Estonia,1326590.0,23723.30611,30.4112491373361
Finland,5520314.0,48782.78848,18.1479501184522
France,67059887.0,40493.92857,122.299435492561
Greece,10716322.0,19582.53598,83.2651823118697
Croatia,4067500.0,14936.10055,72.2361371267008
Hungary,9769949.0,16731.82151,107.117729563883
Ireland,4941444.0,78660.95646,70.6534475250399
Italy,60297396.0,33228.23668,202.941457024821
Lithuania,2786844.0,19601.89083,44.731646175954
Luxembourg,619896.0,114704.5942,250.185185185185
Latvia,1912789.0,17828.89466,31.0383958769528
Malta,502653.0,29820.60325,1514.46875
Netherlands,17332850.0,52331.31673,511.779744579745
Poland,37970874.0,15692.50703,124.031583760656
Portugal,10269417.0,23252.05852,112.261935951514
Romania,19356544.0,12919.52964,84.633801286509
Slovakia,5454073.0,19266.2755,113.285586522463
Slovenia,2087946.0,25946.18219,102.992292564709
Sweden,10285453.0,51615.02065,24.9814981218237
