country,level_0_days,level_1_days,level_2_days,level_3_days
Austria,55,171,144,89
Belgium,53,267,127,21
Bulgaria,44,44,294,82
Croatia,52,179,175,59
Cyprus,52,55,268,86
Czechia,50,106,137,175
Denmark,71,101,193,95
Estonia,55,254,60,93
Finland,57,203,200,0
France,41,182,175,70
Germany,36,135,91,205
Greece,44,143,89,181
Hungary,50,70,226,120
Ireland,52,42,199,166
Italy,33,22,150,261
Latvia,52,24,199,192
Lithuania,52,72,248,96
Luxembourg,55,277,71,63
Malta,52,257,15,138
Netherlands,51,188,117,110
Poland,51,48,170,197
Portugal,48,150,141,128
Romania,50,0,217,201
Slovakia,49,33,212,168
Slovenia,55,141,107,159
Spain,48,169,134,108
Sweden,56,144,268,0
