country,physicians,nurses,hospital_beds
Austria,5.1234,7.0183,7.37
Belgium,3.0679,11.9781,5.66
Bulgaria,4.0332,4.8156,7.45
Cyprus,1.9509,5.2512,3.4
Czechia,4.0194,8.4009,6.63
Germany,4.1944,13.1397,8.0
Denmark,4.0099,10.3195,2.61
Spain,3.8112,5.4967,2.97
Estonia,3.4546,6.433,4.69
Finland,3.8118,14.7374,3.28
France,3.2376,10.8898,5.98
Greece,5.4036,3.5534,4.21
Croatia,2.9996,8.1224,5.54
Hungary,3.2313,6.6427,7.02
Ireland,3.2323,15.5735,2.97
Italy,3.9504,5.8359,3.18
Lithuania,4.7346,7.9665,6.56
Luxembourg,2.9052,12.1647,4.66
Latvia,3.1885,4.8063,5.57
Malta,2.8598,8.3695,4.49
Netherlands,3.547,10.9279,3.28
Poland,2.4146,5.7575,6.62
Portugal,4.9397,6.6615,3.39
Romania,2.2565,6.0922,6.89
Slovakia,3.4664,6.0671,5.82
Slovenia,3.0007,9.6972,4.5
Sweden,3.984,11.755,2.21
